date,agegrp,pi_uc,resp_uc,resp_cardio_uc,natural,population,perc_pos_flu,perc_pos_fluAh1n1,perc_pos_fluAh3n2,perc_pos_fluB,perc_pos_rsv
8/24/2014,60+ yrs,177,472,1712,3810,4527167,0.170782864,0.007401297,0.075880882,0.087500686,0.007173195
10/3/2010,60+ yrs,178,432,1506,3424,4024870,0.128213183,0.062077989,0.014652015,0.05148318,0.009157509
5/27/2012,60+ yrs,178,474,1519,3415,4264528,0.077578672,0.001889645,0.036847007,0.038842021,0.112965379
5/25/2014,60+ yrs,178,426,1583,3634,4527167,0.120808553,0.012108425,0.100064852,0.008635275,0.027674253
6/4/2017,60+ yrs,178,486,1736,4030,4950886,0.163346864,0.015802108,0.141278672,0.006266085,0.166915912
9/13/2009,60+ yrs,179,458,1520,3434,3923521,0.127031726,0.109205422,0.006048387,0.011777916,0.013039179
10/23/2011,60+ yrs,180,421,1461,3460,4140047,0.104457852,8.67E-18,0.022370005,0.082087847,0.03742249
11/13/2011,60+ yrs,180,430,1467,3360,4140047,0.067663817,0.006026365,0.012972685,0.048664767,0.033890505
6/3/2012,60+ yrs,180,448,1573,3633,4264528,0.101285458,8.67E-18,0.064202635,0.037082823,0.093145513
4/28/2013,60+ yrs,180,424,1505,3561,4391538,0.135174237,0.119597812,0.003292806,0.012283619,0.165059077
5/26/2013,60+ yrs,180,465,1599,3552,4391538,0.33826173,0.313579892,0.013809769,0.010872069,0.062563449
5/16/2010,60+ yrs,182,437,1537,3466,4024870,0.015235836,0.005899705,0.002949853,0.006386279,0.171518505
5/17/2009,60+ yrs,183,437,1588,3636,3923521,0.183434343,0,0.177878788,0.005555556,0.094343434
8/25/2013,60+ yrs,183,473,1624,3718,4391538,0.23467105,0.02298921,0.118631453,0.093050387,0.022553988
10/6/2013,60+ yrs,183,455,1472,3549,4391538,0.163292766,0.006705839,0.029807809,0.126779117,0.025644515
6/1/2014,60+ yrs,183,480,1664,3856,4527167,0.160934375,0.016450348,0.13703169,0.007452337,0.025308375
8/31/2014,60+ yrs,183,514,1773,3998,4527167,0.159403417,0.005920478,0.060158361,0.093324577,0.005463793
5/2/2010,60+ yrs,184,436,1585,3684,4024870,0.068575967,0.018319577,0.017143992,0.033112398,0.236755378
9/26/2010,60+ yrs,184,436,1458,3341,4024870,0.155757534,0.06270046,0.024455936,0.068601138,0.009157509
